price,year,month,National Capital region,Region III,Region VI,Region VII,Region XI,Region XII,Autonomous region in Muslim Mindanao,Cordillera Administrative region,Region I,Region II,Region IV-A,Region IV-B,Region IX,Region V,Region VIII,Region X,Region XIII
18.45,2000,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.9,2000,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.9,2000,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.1,2000,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2000,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.8,2000,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19.3,2000,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19.4,2000,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.4,2000,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2000,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.9,2000,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2000,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8,2000,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2000,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2000,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.05,2000,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2000,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.55,2000,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.75,2000,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17.5,2000,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2000,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.75,2000,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2000,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.4,2000,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2000,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.1,2000,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.5,2000,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7,2000,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19.2,2000,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
